product_key,product_id,product_number,product_name,category_id,category,subcategory,maintenance,cost,product_line,start_date
1,210,FR-R92B-58,HL Road Frame - Black- 58,CO_RF,Components,Road Frames,Yes,0,Road,2003-07-01 00:00:00
2,211,FR-R92R-58,HL Road Frame - Red- 58,CO_RF,Components,Road Frames,Yes,0,Road,2003-07-01 00:00:00
3,348,BK-M82B-38,Mountain-100 Black- 38,BI_MB,Bikes,Mountain Bikes,Yes,1898,Mountain,2011-07-01 00:00:00
4,349,BK-M82B-42,Mountain-100 Black- 42,BI_MB,Bikes,Mountain Bikes,Yes,1898,Mountain,2011-07-01 00:00:00
5,350,BK-M82B-44,Mountain-100 Black- 44,BI_MB,Bikes,Mountain Bikes,Yes,1898,Mountain,2011-07-01 00:00:00
6,351,BK-M82B-48,Mountain-100 Black- 48,BI_MB,Bikes,Mountain Bikes,Yes,1898,Mountain,2011-07-01 00:00:00
7,344,BK-M82S-38,Mountain-100 Silver- 38,BI_MB,Bikes,Mountain Bikes,Yes,1912,Mountain,2011-07-01 00:00:00
8,345,BK-M82S-42,Mountain-100 Silver- 42,BI_MB,Bikes,Mountain Bikes,Yes,1912,Mountain,2011-07-01 00:00:00
9,346,BK-M82S-44,Mountain-100 Silver- 44,BI_MB,Bikes,Mountain Bikes,Yes,1912,Mountain,2011-07-01 00:00:00
10,347,BK-M82S-48,Mountain-100 Silver- 48,BI_MB,Bikes,Mountain Bikes,Yes,1912,Mountain,2011-07-01 00:00:00
11,317,BK-R68R-44,Road-450 Red- 44,BI_RB,Bikes,Road Bikes,Yes,885,Road,2011-07-01 00:00:00
12,318,BK-R68R-48,Road-450 Red- 48,BI_RB,Bikes,Road Bikes,Yes,885,Road,2011-07-01 00:00:00
13,319,BK-R68R-52,Road-450 Red- 52,BI_RB,Bikes,Road Bikes,Yes,885,Road,2011-07-01 00:00:00
14,315,BK-R68R-58,Road-450 Red- 58,BI_RB,Bikes,Road Bikes,Yes,885,Road,2011-07-01 00:00:00
15,316,BK-R68R-60,Road-450 Red- 60,BI_RB,Bikes,Road Bikes,Yes,885,Road,2011-07-01 00:00:00
16,311,BK-R93R-44,Road-150 Red- 44,BI_RB,Bikes,Road Bikes,Yes,2171,Road,2011-07-01 00:00:00
17,312,BK-R93R-48,Road-150 Red- 48,BI_RB,Bikes,Road Bikes,Yes,2171,Road,2011-07-01 00:00:00
18,313,BK-R93R-52,Road-150 Red- 52,BI_RB,Bikes,Road Bikes,Yes,2171,Road,2011-07-01 00:00:00
19,314,BK-R93R-56,Road-150 Red- 56,BI_RB,Bikes,Road Bikes,Yes,2171,Road,2011-07-01 00:00:00
20,310,BK-R93R-62,Road-150 Red- 62,BI_RB,Bikes,Road Bikes,Yes,2171,Road,2011-07-01 00:00:00
21,299,FR-M94B-44,HL Mountain Frame - Black- 44,CO_MF,Components,Mountain Frames,Yes,699,Mountain,2011-07-01 00:00:00
22,300,FR-M94B-48,HL Mountain Frame - Black- 48,CO_MF,Components,Mountain Frames,Yes,699,Mountain,2011-07-01 00:00:00
23,291,FR-M94S-44,HL Mountain Frame - Silver- 44,CO_MF,Components,Mountain Frames,Yes,707,Mountain,2011-07-01 00:00:00
24,292,FR-M94S-52,HL Mountain Frame - Silver- 48,CO_MF,Components,Mountain Frames,Yes,707,Mountain,2011-07-01 00:00:00
25,274,FR-R72R-44,ML Road Frame - Red- 44,CO_RF,Components,Road Frames,Yes,352,Road,2011-07-01 00:00:00
26,275,FR-R72R-48,ML Road Frame - Red- 48,CO_RF,Components,Road Frames,Yes,352,Road,2011-07-01 00:00:00
27,276,FR-R72R-52,ML Road Frame - Red- 52,CO_RF,Components,Road Frames,Yes,352,Road,2011-07-01 00:00:00
28,277,FR-R72R-58,ML Road Frame - Red- 58,CO_RF,Components,Road Frames,Yes,352,Road,2011-07-01 00:00:00
29,278,FR-R72R-60,ML Road Frame - Red- 60,CO_RF,Components,Road Frames,Yes,352,Road,2011-07-01 00:00:00
30,219,SO-B909-L,Mountain Bike Socks- L,CL_SO,Clothing,Socks,No,3,Mountain,2011-07-01 00:00:00
31,218,SO-B909-M,Mountain Bike Socks- M,CL_SO,Clothing,Socks,No,3,Mountain,2011-07-01 00:00:00
32,364,BK-M47B-38,Mountain-300 Black- 38,BI_MB,Bikes,Mountain Bikes,Yes,598,Mountain,2012-07-01 00:00:00
33,365,BK-M47B-40,Mountain-300 Black- 40,BI_MB,Bikes,Mountain Bikes,Yes,598,Mountain,2012-07-01 00:00:00
34,366,BK-M47B-44,Mountain-300 Black- 44,BI_MB,Bikes,Mountain Bikes,Yes,598,Mountain,2012-07-01 00:00:00
35,367,BK-M47B-48,Mountain-300 Black- 48,BI_MB,Bikes,Mountain Bikes,Yes,598,Mountain,2012-07-01 00:00:00
36,339,BK-R50B-44,Road-650 Black- 44,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
37,341,BK-R50B-48,Road-650 Black- 48,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
38,343,BK-R50B-52,Road-650 Black- 52,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
39,333,BK-R50B-58,Road-650 Black- 58,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
40,335,BK-R50B-60,Road-650 Black- 60,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
41,337,BK-R50B-62,Road-650 Black- 62,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
42,327,BK-R50R-44,Road-650 Red- 44,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
43,329,BK-R50R-48,Road-650 Red- 48,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
44,331,BK-R50R-52,Road-650 Red- 52,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
45,321,BK-R50R-58,Road-650 Red- 58,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
46,323,BK-R50R-60,Road-650 Red- 60,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
47,325,BK-R50R-62,Road-650 Red- 62,BI_RB,Bikes,Road Bikes,Yes,487,Road,2012-07-01 00:00:00
48,368,BK-R89R-44,Road-250 Red- 44,BI_RB,Bikes,Road Bikes,Yes,1519,Road,2012-07-01 00:00:00
49,369,BK-R89R-48,Road-250 Red- 48,BI_RB,Bikes,Road Bikes,Yes,1519,Road,2012-07-01 00:00:00
50,370,BK-R89R-52,Road-250 Red- 52,BI_RB,Bikes,Road Bikes,Yes,1519,Road,2012-07-01 00:00:00
51,391,FK-1639,LL Fork,CO_FO,Components,Forks,Yes,66,n/a,2012-07-01 00:00:00
52,392,FK-5136,ML Fork,CO_FO,Components,Forks,Yes,78,n/a,2012-07-01 00:00:00
53,393,FK-9939,HL Fork,CO_FO,Components,Forks,Yes,102,n/a,2012-07-01 00:00:00
54,409,FR-M63B-38,ML Mountain Frame - Black- 38,CO_MF,Components,Mountain Frames,Yes,186,Mountain,2012-07-01 00:00:00
55,426,FR-M63B-40,ML Mountain Frame - Black- 40,CO_MF,Components,Mountain Frames,Yes,186,Mountain,2012-07-01 00:00:00
56,427,FR-M63B-44,ML Mountain Frame - Black- 44,CO_MF,Components,Mountain Frames,Yes,186,Mountain,2012-07-01 00:00:00
57,428,FR-M63B-48,ML Mountain Frame - Black- 48,CO_MF,Components,Mountain Frames,Yes,186,Mountain,2012-07-01 00:00:00
58,263,FR-R38R-44,LL Road Frame - Red- 44,CO_RF,Components,Road Frames,Yes,187,Road,2012-07-01 00:00:00
59,265,FR-R38R-48,LL Road Frame - Red- 48,CO_RF,Components,Road Frames,Yes,187,Road,2012-07-01 00:00:00
60,267,FR-R38R-52,LL Road Frame - Red- 52,CO_RF,Components,Road Frames,Yes,187,Road,2012-07-01 00:00:00
61,269,FR-R38R-58,LL Road Frame - Red- 58,CO_RF,Components,Road Frames,Yes,187,Road,2012-07-01 00:00:00
62,271,FR-R38R-60,LL Road Frame - Red- 60,CO_RF,Components,Road Frames,Yes,187,Road,2012-07-01 00:00:00
63,273,FR-R38R-62,LL Road Frame - Red- 62,CO_RF,Components,Road Frames,Yes,187,Road,2012-07-01 00:00:00
64,410,FW-M423,LL Mountain Front Wheel,CO_WH,Components,Wheels,Yes,27,Mountain,2012-07-01 00:00:00
65,411,FW-M762,ML Mountain Front Wheel,CO_WH,Components,Wheels,Yes,93,Mountain,2012-07-01 00:00:00
66,412,FW-M928,HL Mountain Front Wheel,CO_WH,Components,Wheels,Yes,133,Mountain,2012-07-01 00:00:00
67,413,FW-R623,LL Road Front Wheel,CO_WH,Components,Wheels,Yes,38,Road,2012-07-01 00:00:00
68,414,FW-R762,ML Road Front Wheel,CO_WH,Components,Wheels,Yes,110,Road,2012-07-01 00:00:00
69,415,FW-R820,HL Road Front Wheel,CO_WH,Components,Wheels,Yes,147,Road,2012-07-01 00:00:00
70,416,FW-T905,Touring Front Wheel,CO_WH,Components,Wheels,Yes,97,Touring,2012-07-01 00:00:00
71,470,GL-F110-L,Full-Finger Gloves- L,CL_GL,Clothing,Gloves,No,16,Mountain,2012-07-01 00:00:00
72,469,GL-F110-M,Full-Finger Gloves- M,CL_GL,Clothing,Gloves,No,16,Mountain,2012-07-01 00:00:00
73,468,GL-F110-S,Full-Finger Gloves- S,CL_GL,Clothing,Gloves,No,16,Mountain,2012-07-01 00:00:00
74,394,HS-0296,LL Headset,CO_HS,Components,Headsets,No,15,n/a,2012-07-01 00:00:00
75,395,HS-2451,ML Headset,CO_HS,Components,Headsets,No,45,n/a,2012-07-01 00:00:00
76,396,HS-3479,HL Headset,CO_HS,Components,Headsets,No,55,n/a,2012-07-01 00:00:00
77,447,LO-C100,Cable Lock,AC_LO,Accessories,Locks,Yes,10,Other Sales,2012-07-01 00:00:00
78,451,LT-H902,Headlights - Dual-Beam,AC_LI,Accessories,Lights,Yes,14,Road,2012-07-01 00:00:00
79,452,LT-H903,Headlights - Weatherproof,AC_LI,Accessories,Lights,Yes,19,Road,2012-07-01 00:00:00
80,450,LT-T990,Taillights - Battery-Powered,AC_LI,Accessories,Lights,Yes,6,Road,2012-07-01 00:00:00
